,Combined_Test_acc,Combined_Train_acc,Other_NLL,Other_OT,Test_NLL,Test_OT,Test_Test_acc,Test_Train_acc,Train_NLL,Train_OT,Train_Test_acc,Train_Train_acc,lip_loss,model_Test_acc,model_Train_acc
58,0.5375,0.7111111111111111,159.085693359375,13.37442684173584,173.85316467285156,14.634175300598145,0.8875,0.5,-1323.26708984375,13.116418838500977,0.5125,0.9944444444444445,158.23611450195312,0.525,0.9861111111111112
59,0.5375,0.7027777777777777,172.35546875,13.34327507019043,179.7651824951172,14.713740348815918,0.8875,0.5,-1335.5576171875,13.129590034484863,0.5125,0.9944444444444445,147.81451416015625,0.5375,0.9805555555555555
60,0.5375,0.6972222222222222,205.93106079101562,13.347970962524414,213.70767211914062,14.656647682189941,0.8875,0.5,-1339.05224609375,13.111092567443848,0.5125,0.9944444444444445,170.43014526367188,0.5375,0.9861111111111112
61,0.5375,0.6805555555555556,248.00669860839844,13.37955379486084,259.5474548339844,14.712042808532715,0.8875,0.5,-1347.2630615234375,13.12861442565918,0.525,0.9972222222222222,171.41310119628906,0.525,0.9888888888888889
62,0.5375,0.675,292.1598815917969,13.384199142456055,310.2171325683594,14.632704734802246,0.8875,0.5,-1350.377685546875,13.128786087036133,0.5375,0.9972222222222222,187.17138671875,0.5375,0.9888888888888889
63,0.5375,0.6666666666666666,320.184326171875,13.364592552185059,330.07843017578125,14.684579849243164,0.8875,0.5,-1360.05224609375,13.110713958740234,0.5375,0.9972222222222222,176.51458740234375,0.5375,0.9888888888888889
64,0.5375,0.6611111111111111,379.149658203125,13.287775993347168,398.83453369140625,14.732702255249023,0.8875,0.5,-1329.2144775390625,13.100403785705566,0.525,0.9972222222222222,179.9406280517578,0.525,0.9944444444444445
65,0.5375,0.65,326.6366271972656,13.348428726196289,345.2784118652344,14.684331893920898,0.8875,0.5,-1367.813720703125,13.110193252563477,0.55,0.9972222222222222,177.3219451904297,0.5375,0.9916666666666667
66,0.525,0.6388888888888888,344.8190002441406,13.410377502441406,360.3000183105469,14.776407241821289,0.8875,0.5,-1375.2957763671875,13.118502616882324,0.5625,0.9972222222222222,149.674072265625,0.55,0.9888888888888889
67,0.5375,0.6333333333333333,383.87713623046875,13.408025741577148,402.7142028808594,14.692999839782715,0.8875,0.5,-1380.837158203125,13.100316047668457,0.5625,0.9972222222222222,172.67434692382812,0.5375,0.9888888888888889
68,0.525,0.6305555555555555,425.0931396484375,13.429299354553223,447.25225830078125,14.70743465423584,0.8875,0.5,-1383.4449462890625,13.132972717285156,0.5875,0.9972222222222222,187.3409423828125,0.5375,0.9916666666666667
69,0.525,0.6194444444444445,454.3999938964844,13.381037712097168,474.0730895996094,14.679393768310547,0.8875,0.5,-1388.7191162109375,13.116281509399414,0.575,0.9972222222222222,184.8267364501953,0.5375,0.9944444444444445
70,0.525,0.6166666666666667,489.37628173828125,13.363053321838379,516.4840698242188,14.676092147827148,0.8875,0.5,-1397.872314453125,13.131793022155762,0.6125,0.9972222222222222,191.431396484375,0.5375,0.9916666666666667
71,0.525,0.6138888888888889,543.7218017578125,13.375130653381348,562.6575317382812,14.6915283203125,0.8875,0.5,-1403.429931640625,13.136979103088379,0.6625,0.9972222222222222,168.58438110351562,0.55,0.9916666666666667
72,0.525,0.6111111111111112,579.9017944335938,13.37548542022705,604.2909545898438,14.72705078125,0.8875,0.5,-1381.7777099609375,13.127959251403809,0.65,0.9972222222222222,162.7513885498047,0.55,0.9972222222222222
73,0.525,0.6055555555555555,553.0020141601562,13.337945938110352,579.9309692382812,14.703801155090332,0.8875,0.5,-1404.923095703125,13.143867492675781,0.675,0.9972222222222222,187.65782165527344,0.5625,0.9888888888888889
